x,y,z
213,768,3046
234,768,3046
253,761,3019
272,754,2993
295,761,3019
311,748,2967
191,746,3046
213,746,3046
232,740,3019
251,733,2993
272,733,2993
295,740,3019
317,740,3019
338,740,3019
170,725,3046
191,725,3046
213,725,3046
232,719,3019
253,719,3019
272,712,2993
293,712,2993
317,719,3019
338,719,3019
172,710,3073
191,704,3046
213,704,3046
232,697,3019
251,691,2993
272,691,2993
293,691,2993
317,697,3019
341,704,3046
362,704,3046
172,688,3073
190,676,3019
211,676,3019
230,671,2993
251,671,2993
272,671,2993
293,671,2993
317,676,3019
341,682,3046
356,671,2993
170,661,3046
191,661,3046
209,650,2993
230,650,2993
251,650,2993
272,650,2993
295,655,3019
317,655,3019
338,655,3019
359,655,3019
191,640,3046
211,634,3019
230,629,2993
251,629,2993
274,634,3019
295,634,3019
319,640,3046
341,640,3046
362,640,3046
191,618,3046
213,618,3046
232,613,3019
253,613,3019
277,618,3046
295,613,3019
319,618,3046
344,624,3073
365,624,3073
191,597,3046
215,602,3073
234,597,3046
255,597,3046
277,597,3046
298,597,3046
319,597,3046
344,602,3073
369,608,3101
394,613,3129
215,581,3073
234,576,3046
255,576,3046
277,576,3046
298,576,3046
319,576,3046
344,581,3073
369,586,3101
394,591,3129
412,586,3101
426,576,3046
443,571,3019
464,571,3019
234,554,3046
255,554,3046
277,554,3046
298,554,3046
322,559,3073
344,559,3073
365,559,3073
390,564,3101
408,559,3073
426,554,3046
443,549,3019
460,545,2993
481,545,2993
502,545,2993
528,549,3019
260,543,3101
279,538,3073
301,538,3073
325,543,3101
347,543,3101
365,538,3073
387,538,3073
405,533,3046
422,528,3019
439,524,2993
460,524,2993
477,519,2967
498,519,2967
523,524,2993
549,528,3019
262,526,3129
279,516,3073
306,526,3129
328,526,3129
350,526,3129
369,521,3101
387,516,3073
405,512,3046
426,512,3046
439,503,2993
456,498,2967
477,498,2967
494,494,2942
519,498,2967
540,498,2967
560,498,2967
318,523,3246
334,513,3186
350,504,3129
365,495,3073
387,495,3073
405,490,3046
422,486,3019
439,482,2993
456,478,2967
477,478,2967
494,474,2942
519,478,2967
540,478,2967
556,474,2942
304,514,3341
321,505,3277
334,491,3186
350,482,3129
365,473,3073
387,473,3073
405,469,3046
422,465,3019
439,461,2993
456,457,2967
477,457,2967
494,453,2942
514,453,2942
535,453,2942
556,453,2942
581,457,2967
309,501,3406
318,477,3246
331,464,3157
350,460,3129
365,452,3073
387,452,3073
405,448,3046
422,444,3019
439,440,2993
456,436,2967
477,436,2967
498,436,2967
514,432,2942
535,432,2942
560,436,2967
581,436,2967
304,468,3341
315,450,3216
331,442,3157
350,438,3129
365,430,3073
383,426,3046
405,426,3046
422,423,3019
439,419,2993
456,415,2967
477,415,2967
498,415,2967
514,412,2942
535,412,2942
556,412,2942
581,415,2967
602,415,2967
315,428,3216
331,420,3157
350,416,3129
365,409,3073
383,405,3046
401,401,3019
419,398,2993
436,394,2967
456,394,2967
477,394,2967
494,391,2942
510,388,2917
535,391,2942
556,391,2942
576,391,2942
597,391,2942
292,405,3216
312,401,3186
331,398,3157
347,391,3101
365,387,3073
383,384,3046
405,384,3046
422,380,3019
439,377,2993
456,374,2967
477,374,2967
498,374,2967
510,367,2917
530,367,2917
551,367,2917
576,371,2942
597,371,2942
617,371,2942
295,386,3246
315,383,3216
331,376,3157
347,369,3101
365,366,3073
383,362,3046
405,362,3046
426,362,3046
443,359,3019
464,359,3019
477,353,2967
498,353,2967
514,350,2942
530,347,2917
546,344,2893
571,347,2917
597,350,2942
617,350,2942
298,367,3277
315,360,3216
331,353,3157
347,347,3101
365,344,3073
383,341,3046
405,341,3046
422,338,3019
443,338,3019
464,338,3019
477,332,2967
498,332,2967
514,329,2942
535,329,2942
546,324,2893
567,324,2893
597,329,2942
617,329,2942
315,337,3216
331,331,3157
347,325,3101
365,322,3073
387,322,3073
405,320,3046
422,317,3019
443,317,3019
460,314,2993
481,314,2993
498,311,2967
514,309,2942
535,309,2942
551,306,2917
571,306,2917
597,309,2942
617,309,2942
318,318,3246
331,309,3157
347,304,3101
365,301,3073
383,298,3046
405,298,3046
422,296,3019
443,296,3019
464,296,3019
486,296,3019
502,293,2993
519,291,2967
540,291,2967
556,288,2942
576,288,2942
597,288,2942
617,288,2942
633,286,2917
301,301,3309
318,295,3246
331,287,3157
347,282,3101
365,279,3073
383,277,3046
405,277,3046
422,274,3019
443,274,3019
469,277,3046
490,277,3046
511,277,3046
528,274,3019
540,270,2967
560,270,2967
576,267,2942
597,267,2942
617,267,2942
633,265,2917
298,275,3277
318,272,3246
334,267,3186
347,260,3101
362,256,3046
383,256,3046
405,256,3046
426,256,3046
447,256,3046
469,256,3046
490,256,3046
511,256,3046
533,256,3046
549,253,3019
565,251,2993
576,247,2942
592,245,2917
612,245,2917
627,243,2893
318,250,3246
334,245,3186
344,236,3073
365,236,3073
383,234,3046
405,234,3046
426,234,3046
447,234,3046
469,234,3046
490,234,3046
511,234,3046
533,234,3046
554,234,3046
570,232,3019
576,226,2942
592,224,2917
607,222,2893
627,222,2893
318,227,3246
331,221,3157
347,217,3101
365,215,3073
383,213,3046
405,213,3046
430,215,3073
447,213,3046
469,213,3046
490,213,3046
511,213,3046
533,213,3046
554,213,3046
560,207,2967
571,204,2917
587,202,2893
607,202,2893
622,201,2869
321,206,3277
331,199,3157
350,197,3129
365,193,3073
387,193,3073
405,192,3046
430,193,3073
447,192,3046
469,192,3046
490,192,3046
511,192,3046
533,192,3046
554,192,3046
560,187,2967
571,183,2917
582,180,2869
602,180,2869
617,179,2845
322,198,3546
321,183,3277
334,178,3186
350,175,3129
365,172,3073
383,170,3046
405,170,3046
430,172,3073
447,170,3046
469,170,3046
490,170,3046
511,170,3046
533,170,3046
549,169,3019
560,166,2967
567,162,2893
582,160,2869
602,160,2869
617,159,2845
322,173,3546
318,159,3246
331,154,3157
347,152,3101
365,150,3073
383,149,3046
405,149,3046
430,150,3073
447,149,3046
464,148,3019
490,149,3046
511,149,3046
528,148,3019
544,146,2993
551,143,2917
567,141,2893
582,140,2869
602,140,2869
319,147,3510
315,135,3216
331,132,3157
347,130,3101
365,129,3073
387,129,3073
405,128,3046
426,128,3046
447,128,3046
469,128,3046
490,128,3046
511,128,3046
533,128,3046
540,124,2967
546,121,2893
562,120,2869
582,120,2869
597,119,2845
617,119,2845
300,125,3583
322,124,3546
315,112,3216
331,110,3157
347,108,3101
365,107,3073
387,107,3073
405,106,3046
426,106,3046
447,106,3046
469,106,3046
490,106,3046
507,105,3019
528,105,3019
535,103,2942
542,100,2869
557,99,2845
577,99,2845
602,100,2869
622,100,2869
278,101,3621
300,100,3583
326,100,3583
315,90,3216
331,88,3157
347,86,3101
365,86,3073
387,86,3073
408,86,3073
426,85,3046
447,85,3046
469,85,3046
490,85,3046
502,83,2993
523,83,2993
526,81,2893
537,79,2845
557,79,2845
577,79,2845
275,75,3583
300,75,3583
331,66,3157
350,65,3129
365,64,3073
387,64,3073
405,64,3046
426,64,3046
447,64,3046
469,64,3046
490,64,3046
507,63,3019
519,62,2967
522,60,2869
537,59,2845
557,59,2845
582,60,2869
248,49,3546
273,49,3546
297,49,3546
331,44,3157
353,44,3157
369,43,3101
387,43,3073
405,42,3046
426,42,3046
447,42,3046
469,42,3046
490,42,3046
502,41,2993
506,40,2893
513,39,2822
533,39,2822
553,39,2822
587,40,2893
225,25,3583
248,24,3546
273,24,3546
297,24,3546
356,22,3186
372,21,3129
387,21,3073
405,21,3046
426,21,3046
447,21,3046
469,21,3046
486,21,3019
490,20,2917
493,19,2822
509,19,2799
529,19,2799
548,19,2799
582,20,2869
225,0,3583
250,0,3583
273,0,3546
356,0,3186
369,0,3101
383,0,3046
401,0,3019
422,0,3019
443,0,3019
469,0,3046
486,0,3019
486,0,2893
489,0,2799
505,0,2777
524,0,2777
548,0,2799
572,0,2822
225,-26,3583
250,-26,3583
273,-25,3546
331,-23,3157
347,-22,3101
365,-22,3073
383,-22,3046
401,-22,3019
419,-21,2993
439,-21,2993
464,-22,3019
486,-22,3019
498,-21,2967
489,-20,2799
505,-20,2777
524,-20,2777
548,-20,2799
572,-20,2822
228,-51,3621
250,-51,3583
331,-45,3157
347,-44,3101
365,-44,3073
383,-43,3046
401,-43,3019
419,-42,2993
439,-42,2993
460,-42,2993
481,-42,2993
498,-42,2967
506,-41,2893
509,-40,2799
529,-40,2799
553,-40,2822
572,-40,2822
250,-76,3583
275,-76,3583
331,-67,3157
347,-66,3101
359,-64,3019
377,-63,2993
398,-63,2993
422,-64,3019
443,-64,3019
460,-63,2993
477,-63,2967
502,-63,2993
523,-63,2993
549,-64,3019
575,-65,3046
597,-65,3046
334,-90,3186
344,-87,3073
359,-85,3019
377,-84,2993
394,-84,2967
419,-84,2993
443,-85,3019
460,-84,2993
477,-84,2967
498,-84,2967
523,-84,2993
549,-85,3019
575,-86,3046
597,-86,3046
344,-108,3073
