x,y,z
564,787,2443
581,787,2443
598,787,2443
533,775,2460
543,764,2426
560,764,2426
577,764,2426
594,764,2426
602,754,2392
628,764,2426
516,758,2460
530,753,2443
543,747,2426
556,742,2409
569,737,2392
586,737,2392
602,737,2392
619,737,2392
645,747,2426
503,746,2478
516,741,2460
530,735,2443
539,725,2409
556,725,2409
569,720,2392
590,725,2409
607,725,2409
623,725,2409
636,720,2392
503,729,2478
513,718,2443
526,713,2426
539,708,2409
552,703,2392
569,703,2392
590,708,2409
602,703,2392
619,703,2392
636,703,2392
653,703,2392
503,711,2478
513,701,2443
526,696,2426
539,691,2409
552,687,2392
565,682,2376
586,687,2392
598,682,2376
619,687,2392
636,687,2392
653,687,2392
499,689,2460
513,684,2443
526,679,2426
539,675,2409
552,670,2392
569,670,2392
586,670,2392
602,670,2392
619,670,2392
636,670,2392
653,670,2392
503,677,2478
516,672,2460
526,662,2426
539,658,2409
552,653,2392
569,653,2392
586,653,2392
602,653,2392
619,653,2392
636,653,2392
657,658,2409
506,664,2496
516,654,2460
530,650,2443
543,645,2426
556,641,2409
569,636,2392
586,636,2392
602,636,2392
619,636,2392
636,636,2392
657,641,2409
516,637,2460
530,633,2443
543,628,2426
556,624,2409
569,620,2392
586,620,2392
602,620,2392
615,615,2376
632,615,2376
648,615,2376
516,620,2460
533,620,2460
543,611,2426
560,611,2426
569,603,2392
582,599,2376
598,599,2376
611,594,2359
627,594,2359
635,586,2327
651,586,2327
667,586,2327
679,583,2312
516,603,2460
533,603,2460
547,599,2443
560,594,2426
565,582,2376
577,578,2359
590,574,2343
598,566,2312
619,570,2327
631,566,2312
647,566,2312
667,570,2327
684,570,2327
700,570,2327
533,585,2460
543,577,2426
544,561,2359
553,554,2327
566,550,2312
582,550,2312
598,550,2312
615,550,2312
627,547,2297
643,547,2297
663,550,2312
675,547,2297
695,550,2312
712,550,2312
733,554,2327
744,550,2312
501,534,2312
514,531,2297
534,534,2312
546,531,2297
558,527,2281
578,531,2297
598,534,2312
611,531,2297
622,527,2281
634,523,2266
650,523,2266
670,527,2281
686,527,2281
707,531,2297
728,534,2312
744,534,2312
755,531,2297
776,534,2312
482,514,2297
498,514,2297
510,511,2281
523,508,2266
539,508,2266
555,508,2266
571,508,2266
586,508,2266
602,508,2266
618,508,2266
630,504,2252
650,508,2266
666,508,2266
682,508,2266
702,511,2281
718,511,2281
739,514,2297
750,511,2281
771,514,2297
793,518,2312
814,521,2327
836,525,2343
453,502,2312
469,502,2312
482,498,2297
491,492,2266
507,492,2266
523,492,2266
539,492,2266
551,489,2252
567,489,2252
586,492,2266
602,492,2266
614,489,2252
630,489,2252
650,492,2266
666,492,2266
682,492,2266
697,492,2266
713,492,2266
729,492,2266
750,495,2281
771,498,2297
787,498,2297
809,502,2312
830,505,2327
847,505,2327
439,489,2327
453,485,2312
466,482,2297
479,479,2281
491,476,2266
507,476,2266
523,476,2266
536,473,2252
551,473,2252
567,473,2252
579,470,2237
595,470,2237
614,473,2252
630,473,2252
646,473,2252
662,473,2252
677,473,2252
693,473,2252
709,473,2252
729,476,2266
745,476,2266
761,476,2266
777,476,2266
803,482,2297
825,485,2312
847,489,2327
863,489,2327
423,472,2327
436,469,2312
450,466,2297
463,463,2281
475,460,2266
488,457,2252
504,457,2252
520,457,2252
536,457,2252
551,457,2252
563,454,2237
575,451,2223
591,451,2223
614,457,2252
630,457,2252
646,457,2252
662,457,2252
677,457,2252
693,457,2252
709,457,2252
725,457,2252
745,460,2266
761,460,2266
777,460,2266
798,463,2281
820,466,2297
841,469,2312
852,466,2297
423,456,2327
436,453,2312
447,447,2281
460,444,2266
472,441,2252
488,441,2252
501,438,2237
516,438,2237
532,438,2237
548,438,2237
563,438,2237
579,438,2237
595,438,2237
614,441,2252
630,441,2252
642,438,2237
662,441,2252
677,441,2252
693,441,2252
709,441,2252
720,438,2237
740,441,2252
761,444,2266
777,444,2266
793,444,2266
814,447,2281
836,450,2297
857,453,2312
868,450,2297
410,443,2343
423,440,2327
434,434,2297
444,428,2266
457,425,2252
475,428,2266
488,425,2252
504,425,2252
520,425,2252
536,425,2252
544,420,2223
560,420,2223
579,423,2237
595,423,2237
606,420,2223
622,420,2223
642,423,2237
657,423,2237
673,423,2237
689,423,2237
709,425,2252
720,423,2237
740,425,2252
761,428,2266
777,428,2266
793,428,2266
814,431,2281
836,434,2297
857,437,2312
873,437,2312
407,423,2327
423,423,2327
431,415,2281
444,412,2266
460,412,2266
475,412,2266
488,410,2252
504,410,2252
520,410,2252
529,404,2223
544,404,2223
560,404,2223
579,407,2237
595,407,2237
606,404,2223
622,404,2223
642,407,2237
657,407,2237
669,404,2223
689,407,2237
704,407,2237
720,407,2237
736,407,2237
756,410,2252
772,410,2252
793,412,2266
809,412,2266
836,418,2297
857,421,2312
873,421,2312
895,423,2327
390,407,2327
407,407,2327
420,404,2312
434,402,2297
444,396,2266
460,396,2266
472,394,2252
488,394,2252
504,394,2252
520,394,2252
532,391,2237
544,389,2223
563,391,2237
579,391,2237
595,391,2237
610,391,2237
626,391,2237
642,391,2237
653,389,2223
669,389,2223
684,389,2223
704,391,2237
725,394,2252
736,391,2237
751,391,2237
772,394,2252
788,394,2252
809,396,2266
836,402,2297
857,404,2312
873,404,2312
890,404,2312
390,391,2327
407,391,2327
420,388,2312
434,386,2297
444,381,2266
460,381,2266
472,378,2252
488,378,2252
504,378,2252
520,378,2252
536,378,2252
548,376,2237
560,373,2223
575,373,2223
595,376,2237
606,373,2223
622,373,2223
638,373,2223
653,373,2223
669,373,2223
684,373,2223
700,373,2223
720,376,2237
736,376,2237
751,376,2237
772,378,2252
788,378,2252
814,383,2281
836,386,2297
852,386,2297
873,388,2312
890,388,2312
900,386,2297
393,377,2343
404,372,2312
420,372,2312
431,367,2281
444,365,2266
457,362,2252
475,365,2266
488,362,2252
504,362,2252
516,360,2237
536,362,2252
551,362,2252
563,360,2237
575,358,2223
591,358,2223
606,358,2223
622,358,2223
638,358,2223
653,358,2223
669,358,2223
684,358,2223
700,358,2223
720,360,2237
736,360,2237
756,362,2252
772,362,2252
788,362,2252
814,367,2281
836,370,2297
857,372,2312
873,372,2312
890,372,2312
906,372,2312
390,358,2327
404,356,2312
418,354,2297
431,351,2281
444,349,2266
457,347,2252
472,347,2252
488,347,2252
504,347,2252
520,347,2252
532,344,2237
548,344,2237
563,344,2237
579,344,2237
595,344,2237
610,344,2237
626,344,2237
642,344,2237
657,344,2237
669,342,2223
684,342,2223
700,342,2223
720,344,2237
736,344,2237
756,347,2252
772,347,2252
788,347,2252
809,349,2266
841,356,2312
857,356,2312
873,356,2312
890,356,2312
906,356,2312
377,344,2343
390,342,2327
404,340,2312
418,337,2297
428,333,2266
444,333,2266
460,333,2266
472,331,2252
488,331,2252
507,333,2266
520,331,2252
536,331,2252
551,331,2252
560,327,2223
579,329,2237
599,331,2252
610,329,2237
626,329,2237
642,329,2237
653,327,2223
669,327,2223
684,327,2223
704,329,2237
720,329,2237
731,327,2223
751,329,2237
772,331,2252
788,331,2252
809,333,2266
841,340,2312
857,340,2312
873,340,2312
890,340,2312
912,342,2327
928,342,2327
379,330,2359
390,326,2327
404,323,2312
415,319,2281
428,317,2266
444,317,2266
460,317,2266
472,315,2252
491,317,2266
504,315,2252
520,315,2252
536,315,2252
548,313,2237
563,313,2237
583,315,2252
595,313,2237
610,313,2237
626,313,2237
638,311,2223
653,311,2223
664,309,2208
680,309,2208
695,309,2208
715,311,2223
736,313,2237
751,313,2237
772,315,2252
788,315,2252
814,319,2281
841,323,2312
857,323,2312
873,323,2312
890,323,2312
906,323,2312
934,328,2343
944,326,2327
374,309,2327
390,309,2327
404,307,2312
415,303,2281
428,301,2266
444,301,2266
460,301,2266
472,299,2252
488,299,2252
507,301,2266
520,299,2252
536,299,2252
544,295,2223
563,297,2237
583,299,2252
595,297,2237
610,297,2237
630,299,2252
638,295,2223
653,295,2223
664,293,2208
680,293,2208
695,293,2208
711,293,2208
736,297,2237
751,297,2237
772,299,2252
788,299,2252
809,301,2266
841,307,2312
857,307,2312
873,307,2312
890,307,2312
906,307,2312
928,309,2327
374,293,2327
388,291,2312
404,291,2312
412,285,2266
428,285,2266
444,285,2266
460,285,2266
475,285,2266
488,283,2252
507,285,2266
523,285,2266
539,285,2266
548,282,2237
563,282,2237
583,283,2252
599,283,2252
614,283,2252
626,282,2237
638,280,2223
649,278,2208
664,278,2208
680,278,2208
695,278,2208
715,280,2223
736,282,2237
751,282,2237
772,283,2252
788,283,2252
809,285,2266
841,291,2312
857,291,2312
873,291,2312
890,291,2312
906,291,2312
922,291,2312
363,280,2359
374,277,2327
388,275,2312
401,273,2297
412,269,2266
428,269,2266
444,269,2266
457,268,2252
475,269,2266
488,268,2252
507,269,2266
523,269,2266
539,269,2266
551,268,2252
567,268,2252
583,268,2252
599,268,2252
614,268,2252
626,266,2237
638,264,2223
653,264,2223
664,262,2208
680,262,2208
695,262,2208
715,264,2223
731,264,2223
751,266,2237
772,268,2252
788,268,2252
809,269,2266
841,275,2312
863,277,2327
873,275,2312
890,275,2312
906,275,2312
934,279,2343
360,262,2343
374,260,2327
388,259,2312
401,257,2297
415,255,2281
428,254,2266
444,254,2266
457,252,2252
475,254,2266
491,254,2266
504,252,2252
523,254,2266
539,254,2266
551,252,2252
567,252,2252
583,252,2252
599,252,2252
614,252,2252
626,250,2237
642,250,2237
653,249,2223
664,247,2208
680,247,2208
695,247,2208
