x,y,z
548,1026,3406
500,1002,3406
519,992,3373
537,983,3341
561,983,3341
584,983,3341
472,968,3373
495,968,3373
514,959,3341
532,950,3309
555,950,3309
584,959,3341
608,959,3341
457,964,3440
476,954,3406
491,936,3341
509,927,3309
532,927,3309
555,927,3309
579,927,3309
608,936,3341
631,936,3341
457,939,3440
476,930,3406
491,912,3341
514,912,3341
537,912,3341
555,904,3309
579,904,3309
608,912,3341
631,912,3341
476,906,3406
495,897,3373
514,889,3341
532,880,3309
555,880,3309
584,889,3341
613,897,3373
637,897,3373
476,882,3406
491,866,3341
514,866,3341
532,857,3309
555,857,3309
579,857,3309
608,866,3341
631,866,3341
467,842,3341
491,842,3341
514,842,3341
537,842,3341
561,842,3341
584,842,3341
602,834,3309
631,842,3341
416,811,3309
435,803,3277
495,827,3373
514,819,3341
537,819,3341
561,819,3341
584,819,3341
602,811,3309
613,795,3246
624,781,3186
370,788,3309
393,788,3309
416,788,3309
440,788,3309
500,811,3406
519,803,3373
537,795,3341
555,788,3309
573,780,3277
590,773,3246
602,758,3186
618,752,3157
640,752,3157
663,752,3157
361,795,3440
377,779,3373
393,765,3309
416,765,3309
440,765,3309
548,787,3406
550,757,3277
557,736,3186
574,729,3157
596,729,3157
618,729,3157
640,729,3157
663,729,3157
691,736,3186
389,734,3277
412,734,3277
440,741,3309
543,756,3373
540,721,3216
557,714,3186
574,707,3157
591,701,3129
607,695,3101
635,701,3129
663,707,3157
685,707,3157
713,714,3186
393,718,3309
409,704,3246
423,691,3186
508,685,3157
530,685,3157
547,679,3129
564,673,3101
586,673,3101
602,667,3073
635,679,3129
663,685,3157
685,685,3157
713,691,3186
405,675,3216
423,669,3186
442,663,3157
464,663,3157
481,657,3129
499,651,3101
520,651,3101
537,645,3073
559,645,3073
580,645,3073
607,651,3101
640,663,3157
669,669,3186
691,669,3186
713,669,3186
736,669,3186
401,647,3186
423,647,3186
442,641,3157
459,635,3129
477,630,3101
499,630,3101
520,630,3101
542,630,3101
564,630,3101
586,630,3101
613,635,3129
640,641,3157
669,647,3186
691,647,3186
713,647,3186
729,641,3157
397,619,3157
419,619,3157
442,619,3157
459,613,3129
477,608,3101
499,608,3101
520,608,3101
537,602,3073
569,613,3129
591,613,3129
618,619,3157
640,619,3157
669,624,3186
697,630,3216
713,624,3186
742,630,3216
405,608,3216
423,602,3186
438,591,3129
451,581,3073
473,581,3073
494,581,3073
520,586,3101
542,586,3101
564,586,3101
596,597,3157
618,597,3157
640,597,3157
669,602,3186
691,602,3186
720,608,3216
736,602,3186
438,569,3129
455,564,3101
473,559,3073
494,559,3073
520,564,3101
547,569,3129
574,575,3157
602,580,3186
624,580,3186
646,580,3186
669,580,3186
691,580,3186
713,580,3186
742,585,3216
464,552,3157
486,552,3157
503,548,3129
530,552,3157
562,563,3216
590,568,3246
607,563,3216
624,558,3186
646,558,3186
669,558,3186
691,558,3186
720,563,3216
749,568,3246
504,551,3277
527,551,3277
545,545,3246
568,545,3246
596,551,3277
607,540,3216
630,540,3216
652,540,3216
669,535,3186
697,540,3216
727,545,3246
757,551,3277
524,548,3406
532,533,3309
550,528,3277
568,523,3246
585,518,3216
607,518,3216
630,518,3216
652,518,3216
675,518,3216
691,513,3186
727,523,3246
749,523,3246
500,524,3406
519,519,3373
537,514,3341
550,505,3277
568,500,3246
585,495,3216
613,500,3246
636,500,3246
652,495,3216
681,500,3246
697,495,3216
713,491,3186
736,491,3186
495,496,3373
519,496,3373
537,491,3341
550,482,3277
562,473,3216
585,473,3216
613,477,3246
630,473,3216
652,473,3216
681,477,3246
704,477,3246
720,473,3216
742,473,3216
870,538,3659
524,477,3406
537,468,3341
550,459,3277
562,450,3216
585,450,3216
613,454,3246
630,450,3216
652,450,3216
681,454,3246
704,454,3246
727,454,3246
