x,y,z
-659,659,3246
-631,653,3216
-603,647,3186
-580,647,3186
-558,647,3186
-536,647,3186
-647,624,3186
-625,624,3186
-603,624,3186
-575,619,3157
-558,624,3186
-536,624,3186
-676,608,3216
-647,602,3186
-619,597,3157
-597,597,3157
-575,597,3157
-558,602,3186
-536,602,3186
-518,608,3216
-670,580,3186
-647,580,3186
-619,575,3157
-597,575,3157
-575,575,3157
-553,575,3157
-536,580,3186
-518,585,3216
-500,591,3246
-670,558,3186
-641,552,3157
-619,552,3157
-597,552,3157
-575,552,3157
-558,558,3186
-536,558,3186
-518,563,3216
-496,563,3216
-670,535,3186
-641,530,3157
-619,530,3157
-603,535,3186
-580,535,3186
-558,535,3186
-541,540,3216
-518,540,3216
-496,540,3216
-647,513,3186
-625,513,3186
-603,513,3186
-580,513,3186
-558,513,3186
-541,518,3216
-518,518,3216
-496,518,3216
-482,528,3277
-647,491,3186
-625,491,3186
-603,491,3186
-580,491,3186
-558,491,3186
-541,495,3216
-518,495,3216
-500,500,3246
-482,505,3277
-631,473,3216
-603,468,3186
-580,468,3186
-558,468,3186
-541,473,3216
-523,477,3246
-505,482,3277
-487,486,3309
-464,486,3309
-441,486,3309
-643,459,3277
-614,454,3246
-586,450,3216
-563,450,3216
-546,454,3246
-528,459,3277
-505,459,3277
-487,463,3309
-464,463,3309
-441,463,3309
-413,459,3277
-390,459,3277
-371,463,3309
-345,459,3277
-325,463,3309
-614,432,3246
-586,428,3216
-563,428,3216
-551,436,3277
-528,436,3277
-510,440,3309
-487,440,3309
-464,440,3309
-436,436,3277
-413,436,3277
-390,436,3277
-368,436,3277
-345,436,3277
-322,436,3277
-299,436,3277
-276,436,3277
-620,413,3277
-591,409,3246
-569,409,3246
-551,413,3277
-533,417,3309
-510,417,3309
-487,417,3309
-459,413,3277
-436,413,3277
-413,413,3277
-387,409,3246
-364,409,3246
-345,413,3277
-322,413,3277
-299,413,3277
-276,413,3277
-253,413,3277
-651,409,3440
-620,405,3406
-591,401,3373
-562,397,3341
-538,397,3341
-510,394,3309
-482,390,3277
-459,390,3277
-436,390,3277
-413,390,3277
-387,386,3246
-364,386,3246
-345,390,3277
-322,390,3277
-296,386,3246
-273,386,3246
-253,390,3277
-230,390,3277
-207,390,3277
-964,385,3440
-703,401,3583
-664,393,3510
-633,389,3475
-603,385,3440
-567,378,3373
-538,374,3341
-510,370,3309
-482,367,3277
-459,367,3277
-436,367,3277
-410,363,3246
-387,363,3246
-368,367,3277
-345,367,3277
-319,363,3246
-296,363,3246
-276,367,3277
-253,367,3277
-232,370,3309
-209,370,3309
-186,370,3309
-163,370,3309
-1008,368,3510
-964,361,3440
-930,357,3406
-696,372,3546
-664,368,3510
-633,365,3475
-603,361,3440
-562,351,3341
-533,347,3309
-510,347,3309
-482,344,3277
-459,344,3277
-436,344,3277
-413,344,3277
-390,344,3277
-368,344,3277
-345,344,3277
-319,341,3246
-296,341,3246
-273,341,3246
-253,344,3277
-230,344,3277
-209,347,3309
-186,347,3309
-163,347,3309
-141,351,3341
-988,337,3440
-974,340,3475
-930,334,3406
-696,347,3546
-664,344,3510
-633,340,3475
-603,337,3440
-562,327,3341
-533,324,3309
-515,327,3341
-482,321,3277
-464,324,3309
-436,321,3277
-413,321,3277
-390,321,3277
-368,321,3277
-345,321,3277
-322,321,3277
-296,318,3246
-273,318,3246
-253,321,3277
-230,321,3277
-207,321,3277
-186,324,3309
-163,324,3309
-141,327,3341
-116,324,3309
-964,313,3440
-940,313,3440
-916,313,3440
-728,326,3583
-696,322,3546
-664,319,3510
-633,316,3475
-597,310,3406
-556,301,3309
-528,298,3277
-505,298,3277
-482,298,3277
-464,301,3309
-436,298,3277
-413,298,3277
-390,298,3277
-368,298,3277
-348,301,3309
-325,301,3309
-302,301,3309
-276,298,3277
-253,298,3277
-230,298,3277
-207,298,3277
-186,301,3309
-163,301,3309
-141,304,3341
-116,301,3309
-93,301,3309
-940,289,3440
-916,289,3440
-910,295,3510
-894,298,3546
-869,298,3546
-803,301,3583
-778,301,3583
-753,301,3583
-728,301,3583
-696,298,3546
-664,295,3510
-633,292,3475
-603,289,3440
-562,280,3341
-528,275,3277
-510,278,3309
-487,278,3309
-464,278,3309
-436,275,3277
-413,275,3277
-390,275,3277
-371,278,3309
-348,278,3309
-328,280,3341
-305,280,3341
-278,278,3309
-253,275,3277
-230,275,3277
-209,278,3309
-186,278,3309
-163,278,3309
-141,280,3341
-117,280,3341
-93,278,3309
-71,283,3373
-959,270,3510
-925,267,3475
-910,270,3510
-894,273,3546
-860,270,3510
-844,273,3546
-828,276,3583
-803,276,3583
-778,276,3583
-753,276,3583
-720,273,3546
-696,273,3546
-664,270,3510
-633,267,3475
-603,265,3440
-573,262,3406
-544,259,3373
-515,257,3341
-487,255,3309
-464,255,3309
-441,255,3309
-413,252,3277
-390,252,3277
-371,255,3309
-348,255,3309
-331,259,3373
-307,259,3373
-284,259,3373
-255,255,3309
-232,255,3309
-207,252,3277
-184,252,3277
-163,255,3309
-141,257,3341
-117,257,3341
-93,255,3309
-70,255,3309
-48,262,3406
-925,243,3475
-901,243,3475
-885,245,3510
-869,248,3546
-853,251,3583
-828,251,3583
-803,251,3583
-778,251,3583
-745,248,3546
-720,248,3546
-696,248,3546
-678,251,3583
-639,245,3510
-603,241,3440
-567,236,3373
-549,238,3406
-515,234,3341
-487,231,3309
-464,231,3309
-441,231,3309
-417,231,3309
-394,231,3309
-371,231,3309
-351,234,3341
-331,236,3373
-310,238,3406
-284,236,3373
-260,236,3373
-234,234,3341
-209,231,3309
-186,231,3309
-141,234,3341
-117,234,3341
-94,234,3341
-71,234,3341
-48,236,3373
-24,238,3406
-876,219,3475
-869,223,3546
-844,223,3546
-828,225,3583
-803,225,3583
-778,225,3583
-753,225,3583
-728,225,3583
-703,225,3583
-685,228,3621
-646,223,3546
-603,216,3440
-573,214,3406
-549,214,3406
-520,212,3373
-492,210,3341
-464,208,3309
-441,208,3309
-417,208,3309
-394,208,3309
-371,208,3309
-351,210,3341
-331,212,3373
-310,214,3406
-287,214,3406
-263,214,3406
-239,214,3406
-217,216,3440
-193,216,3440
-119,212,3373
-94,210,3341
-71,212,3373
-48,212,3373
-24,212,3373
0,216,3440
-803,200,3583
-778,200,3583
-753,200,3583
-710,202,3621
-678,200,3583
-639,196,3510
-609,194,3475
-578,192,3440
-554,192,3440
-525,190,3406
-496,189,3373
-468,187,3341
-441,185,3309
-417,185,3309
-394,185,3309
-375,187,3341
-358,190,3406
-334,190,3406
-310,190,3406
-287,190,3406
-265,192,3440
-239,190,3406
-215,190,3406
-191,190,3406
-92,183,3277
-71,189,3373
-48,189,3373
-24,187,3341
0,192,3440
24,192,3440
-653,175,3583
-621,173,3546
-584,170,3475
-549,167,3406
-520,165,3373
-492,163,3341
-468,163,3341
-445,163,3341
-421,163,3341
-398,163,3341
-382,167,3406
-355,165,3373
-334,167,3406
-310,167,3406
-289,168,3440
-265,168,3440
-239,167,3406
-215,167,3406
-191,167,3406
-167,167,3406
-48,167,3406
-24,165,3373
0,168,3440
24,168,3440
-628,150,3583
-590,147,3510
-554,144,3440
-525,143,3406
-496,141,3373
-464,139,3309
-445,140,3341
-430,143,3406
-402,141,3373
-382,143,3406
-358,143,3406
-334,143,3406
-310,143,3406
-289,144,3440
-263,143,3406
-239,143,3406
-215,143,3406
-193,144,3440
-167,143,3406
-24,143,3406
0,144,3440
24,144,3440
47,143,3406
-628,125,3583
-590,122,3510
-554,120,3440
-525,119,3406
-501,119,3406
-473,118,3373
-449,118,3373
-430,119,3406
-406,119,3406
-382,119,3406
-358,119,3406
-334,119,3406
-314,120,3440
-287,119,3406
-263,119,3406
-239,119,3406
-215,119,3406
-193,120,3440
-169,120,3440
24,120,3440
47,119,3406
-590,98,3510
-560,97,3475
-530,96,3440
-501,95,3406
-473,94,3373
-449,94,3373
-430,95,3406
-406,95,3406
-386,96,3440
-362,96,3440
-334,95,3406
-310,95,3406
-287,95,3406
-263,95,3406
-237,94,3373
-213,94,3373
-193,96,3440
-167,95,3406
24,96,3440
48,96,3440
71,95,3406
-596,74,3546
-566,73,3510
-536,73,3475
-501,71,3406
-473,70,3373
-449,70,3373
-430,71,3406
-406,71,3406
-382,71,3406
-358,71,3406
-334,71,3406
-310,71,3406
-287,71,3406
-263,71,3406
-237,70,3373
-213,70,3373
-191,71,3406
-169,72,3440
24,72,3440
48,72,3440
72,72,3440
-596,49,3546
-566,49,3510
-541,49,3510
-506,48,3440
-477,47,3406
-449,47,3373
-430,47,3406
-406,47,3406
-382,47,3406
-358,47,3406
-334,47,3406
-310,47,3406
-287,47,3406
-263,47,3406
-239,47,3406
-215,47,3406
-191,47,3406
24,48,3475
48,48,3440
72,48,3440
-541,24,3510
-511,24,3475
-482,24,3440
-454,23,3406
-430,23,3406
-406,23,3406
-386,24,3440
-362,24,3440
-338,24,3440
-310,23,3406
-287,23,3406
-263,23,3406
-239,23,3406
-217,24,3440
-195,24,3475
24,24,3475
48,24,3440
72,24,3440
-541,0,3510
-511,0,3475
-482,0,3440
-458,0,3440
-430,0,3406
-406,0,3406
-386,0,3440
-362,0,3440
-334,0,3406
-310,0,3406
-287,0,3406
-263,0,3406
-241,0,3440
-222,0,3510
-197,0,3510
48,0,3475
72,0,3475
-516,-25,3510
